SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
NC(=O)NN=Cc1ccc([N+](=O)[O-])o1,0.23,0.23,0.1899999999999998,-0.69,-0.12,0.09
O=NN1CCOCC1,-0.44,-0.43,0.0,-1.03,-0.64,-0.22
NC(Cc1ccc(O)c(O)c1)C(=O)O,-2.5650000000000004,-2.24,0.0521999999999999,-2.47,0.19,0.42
c1ccc(CC2=NCCN2)cc1,2.65,2.34,1.2308,2.72,1.59,1.15
Nc1ccc(N=Nc2ccccc2)cc1,3.41,3.19,3.6842000000000015,3.55,2.68,3.45
CN(C)c1ccc(N=Nc2ccccc2)cc1,4.58,4.29,4.168000000000003,4.64,3.21,4.36
OCCc1ccccc1,1.36,1.57,1.2214,1.57,1.92,1.55
NC(Cc1ccc(F)cc1)C(=O)O,-1.89,-1.08,0.7801,-1.3,1.67,1.16
NC(Cc1ccc(O)cc1)C(=O)O,-2.26,-1.76,0.3466,-1.99,0.71,0.69
CN1CC(=O)NC1=N,-1.76,-1.21,-1.01723,-1.21,-0.74,-0.82
CCOCC,0.89,1.05,1.0428000000000002,1.05,0.8,0.75
NCCCCCC(=O)O,-2.95,-2.62,0.5901000000000001,-2.62,0.54,0.29
CCCCCC=CCC=CCCCCCCCC(=O)O,7.05,7.51,5.884500000000006,7.51,4.57,6.39
CNN,-1.05,-1.0,-0.9205,-2.13,-0.88,-0.6
CC(N)=O,-1.26,-1.16,-0.5084000000000002,-1.16,-0.79,-0.83
CNC(=O)CSP(=S)(OC)OC,0.78,0.72,0.9829,0.94,-0.76,0.57
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)cccc4C(C)(O)C3CC12,-1.3,-1.33,-0.2143999999999992,-3.95,-1.65,-1.11
Cn1cc[nH]c1=S,-0.34,-0.49,1.08269,-0.49,-0.32,-0.3
ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,5.300000000000001,5.45,4.481400000000002,,,
Cc1cc(=O)n(-c2ccccc2)n1C,0.38,0.59,1.48442,2.04,1.77,1.61
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,4.81,4.49,4.239400000000003,4.47,3.26,4.39
Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,-2.96,-2.36,-0.8174000000000006,-3.59,-0.34,-2.06
COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,4.68,5.06,4.495600000000004,5.04,3.16,4.51
COc1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,4.9,4.64,4.249600000000004,4.63,2.93,4.06
COc1cccc(OC)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,1.22,2.2,0.9490999999999996,2.18,1.36,1.24
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O,1.83,1.85,0.8607999999999998,1.61,1.82,1.31
NCCc1c[nH]c2ccccc12,1.55,1.27,1.6691,1.62,1.49,1.55
O=C1NCCN1c1ncc([N+](=O)[O-])s1,0.95,1.17,0.5809,0.42,-0.1,-0.01
Cc1cccc(Nc2ccccc2C(=O)O)c1C,5.12,5.28,3.7452400000000017,4.27,3.47,3.96
Cc1onc(-c2ccccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,2.48,3.22,2.5487200000000003,3.53,2.44,2.46
CNCC(O)c1cccc(O)c1.Cl,-0.31,-3.1,1.0667999999999995,,,
Nc1ccc(C(=O)NCC(=O)O)cc1,-0.89,-0.46,0.0831999999999997,-0.46,0.51,-0.04
Nc1nc2cc(Cl)ccc2o1,2.46,2.06,2.0634,1.45,1.79,1.82
Nc1nc[nH]n1,-0.97,-0.47,-0.6131000000000002,-1.68,-0.23,-0.64
