SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,1.74,1.66,1.39
O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,3.08,2.2,2.11
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,3.03,2.52,2.45
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,2.19,1.16,1.91
CCC1(CC)C(=O)NC(=O)NC1=O,0.79,0.25,0.74
CNC(=O)Oc1ccc2c(c1)C1(C)CCN(C)C1N2C,1.23,2.41,2.35
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-0.36,-3.9,-4.31
CCCC(C)(COC(N)=O)COC(N)=O,0.98,1.5,1.27
CC(O)CO,-0.78,-0.53,-0.52
CN(C)C1C(O)=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)c4c(O)ccc(Cl)c4C(C)(O)C3CC12,-3.3,-1.17,-0.45
C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,5.07,4,4.86
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,2.89,2.38,2.81
N=C(N)NS(=O)(=O)c1ccc(N)cc1,-1.07,0.22,-0.51
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,0.76,1.47,1.39
ClC1=C(Cl)C2(Cl)C3C(Cl)C(Cl)CC3C1(Cl)C2(Cl)Cl,6.26,5.47,4.79
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.72,4.05,3.58
O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1,3.33,3.23,3.43
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,6.62,5.55,5.53
CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,2.9,2.96,3.07
Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.76,0.2,-0.1
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,2.41,2.64,2.75
Cc1c(N(C)C)c(=O)n(-c2ccccc2)n1C,1.71,1.51,1.38
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(C)O,3.78,3.92,3.54
CC1CC2(C)C(CCC3C4CCC(O)C4(C)CCC32)CC1=O,3.83,4.03,3.62
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,3.32,3.7,3.33
CNC1=Nc2ccc(Cl)cc2C(c2ccccc2)=[N+]([O-])C1,0.37,2.95,1.16
CC1=CC(=O)c2ccccc2C1=O,2.21,1.7,2.2
CN(C)CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.68,2.9,4.18
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,4.78,3.22,4.7
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,3.8,2.63,4.16
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.55,3.26,4.08
Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.22,-0.13,-0.31
Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-2.95,-1.24,-2.02
OCC1OC(n2cnc3c(O)ncnc32)C(O)C1O,-3.37,-1.24,-1.54
CN(C)CCOC(c1ccccc1)c1ccccc1,3.11,3.26,3.38
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,4.56,2.44,3.5
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-,-,-
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,4.09,3.62,4.22
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-1.12,0.53,0.39
NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,-1.61,0.45,0.08
O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1,-1.86,-1.71,-2.45
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,-1.99,0.38,0.38
CCOc1cc(N)ccc1C(=O)O,1.53,1.24,1.02
O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,-1.35,-0.51,-1.23
CCN(CC)C(=O)c1cccnc1,1.21,1.02,0.79
O=c1ccc2ccccc2[nH]1,1.32,1.59,1.25
Nc1ccc(S(=O)(=O)Nc2cnc3ccccc3n2)cc1,1.69,1.43,2.09
CNCC(O)c1cccc(O)c1,-0.21,0.79,0.59
CCN(CC)CCOC(=O)c1ccc(N)cc1,1.99,2.12,1.78
Cc1ccccc1OCC(O)CO,1.01,1.1,1.25
O=C1Cc2ccccc2N1,0.82,1.36,0.82
O=c1[nH]c2ccccc2o1,1.2,1.41,1.34
Cc1cc(O)ccc1Cl,2.7,2.46,2.71
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,2.46,3.04,2.91
