SMILES2,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction
CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(C)N)C(=O)O,1.14,0.68,1.29
CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCSC)NC(=O)C(N)C(C)C)C(=O)O,3.09,1.54,2.38
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(C(=O)O)C(C)O,1.19,0.19,0.72
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)O,1.54,1.12,1.58
CCC(C)C(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(CC(C)C)C(=O)NCC(=O)O,2.11,0.65,1.79
CCC(C)C(NC(=O)C(N)Cc1ccccc1)C(=O)NC(C(=O)O)C(C)O,1.27,0.65,1.05
CCC(C)C(NC(=O)C(N)CC(C)C)C(=O)NC(C(=O)NCC(=O)NC(C)C(=O)O)C(C)CC,2.49,0.23,1.45
CCC(C)C(NC(=O)C(NC(=O)C(N)CC(C)C)C(C)CC)C(=O)O,2.93,1.42,2.53
CCC(C)C(NC(=O)C(NC(=O)C(N)CC(C)C)C(C)O)C(=O)O,0.48,0.19,0.72
CCC(C)C(NC(=O)C1CCCN1)C(=O)O,0.99,0.45,0.89
CCC(C)C(NC(=O)CNC(=O)C(C)NC(=O)CNC(=O)C(N)Cc1ccccc1)C(=O)O,0.76,-0.22,0.1
CCC(C)C(NC(=O)CNC(=O)C1CCCN1C(=O)C(N)Cc1ccc(O)cc1)C(=O)O,0.6,0.05,0.88
CCC(C)C(NC(C)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(CCCNC(=N)N)C(N)=O,-0.02,0.4,0.17
CCC(C)NC(=O)N1C(=O)N(C)CC1O,0.31,0.7,0.29
CCC(C)NC(=O)NN,-1.19,0.57,-0.08
CCC(C)NCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1,1.75,1.37,2.33
CCC(C)Nc1nc(N)nc(Cl)n1,2.27,1.87,2.19
,-,-,-
CCC(CC)(C(=O)OC)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,1.77,2.06,2.8
CCC(CC)C(=O)NS(=O)(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],2.98,3.13,3.4
CCC(CO[N+](=O)[O-])O[N+](=O)[O-],2.55,0.78,1.94
CCC1C(=O)N(CCN(C)C)c2cccc(C(F)(F)F)c2CC1c1ccc(OC)cc1,5.86,4.36,5.21
CCC1OC(Cn2cncn2)(c2ccc(Cl)cc2Cl)OC1C,4.05,3.9,3.72
CCCC(=NOCC)C1=C(O)CC(C)(C)OC1=O,1.83,1.31,1.46
CC=C(C)C1(C)CC(O)=C(C(CCC)=NOCC)C(=O)O1,3.15,1.99,2.58
CCCC(=NOCC)C1=C(O)CC(C)(C2CC2)OC1=O,1.6,1.83,1.94
CCCC(=NOCC)C1=C(O)CC(c2ccccc2)(c2ccccc2)OC1=O,4.26,3.18,3.93
CCCC(=NOCC)C1=C(O)CC2(CC(C)CC(C)C2)OC1=O,5.09,2.56,3.1
CCCC(=NOCC)C1=C(O)CC2(CCC(C)C2)OC1=O,4.18,2.08,2.39
CCCC(=NOCC)C1=C(O)CC2(CCC(C)CC2)OC1=O,4.67,2.32,2.85
CCCC(=NOCC)C1=C(O)CC2(CCC(CC)CC2)OC1=O,5.16,2.56,3.3
CCCC(=NOCC)C1=C(O)CC2(CCC(CC(C)(C)C)CC2)OC1=O,6.52,3.24,4.22
CCCC(=NOCC)C1=C(O)CC2(CCCC2)OC1=O,3.76,1.83,2.14
CCCC(=NOCC)C1=C(O)CC2(CCCCC2)OC1=O,4.25,2.08,2.6
CCCC(=NOCC)C1=C(O)CC2(CCCCC2C)OC1=O,4.67,2.32,2.92
CCCC(=NOCC)C1=C(O)CC2(CCSCC2)OC1=O,3.35,1.83,1.32
CCCC(=NOCC)C1=C(O)CC2(CCCC3CCCCC32)OC1=O,5.27,3.02,3.71
CCCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(C)=O,-1.62,0.97,-0.85
CCCC(=O)OC1Cc2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,3.16,1.57,3.42
,-,-,-
CCCC(=O)OCOC(=O)N(C)N=Nc1ccc(C(=O)OCC)cc1,4.44,3.3,3.79
CCCC(=O)c1ccncc1,1.47,0.88,1.54
CCCC1C(=O)N(CCN(C)C)c2cccc(C(F)(F)F)c2CC1c1ccc(OC)cc1,6.35,4.56,5.66
CCCC1C(=O)N(CCN(C)C)c2ccccc2CC1c1ccc(OC)cc1,5.39,3.78,4.72
CCCCC(=O)C(CCCCOc1c(C)cc(C)cc1[N+](=O)[O-])n1cncn1,4.24,3.85,4.66
CCCCC(=O)C(CCCCOc1cccc(F)c1)n1cncn1,3.52,3.77,4
CCCCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(=O)CCC(=O)NCCCCCN(O)C(C)=O,-1.13,1.16,-0.4
CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,2.51,-0.6,2.12
CCCCC(=O)OCOCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(N(C)C)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,2.93,-0.35,2.94
CCCCC(=O)c1ccncc1,1.96,1.18,2
CCCCC(C)N=C=S,3.68,3.27,3.18
CCCCC(CO[N+](=O)[O-])O[N+](=O)[O-],3.53,1.56,2.85
CCCCC(O)C(CCCCOc1ccc(F)cc1)n1cncn1,4.04,3.85,4.04
CCCCC(O)C(CCCCOc1cccc(C)c1)n1cncn1,4.38,3.7,4.32
CCCCC(O)C(CCCCOc1cccc2ccccc12)n1cncn1,5.01,4.12,4.74
CCCCCC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,4.48,3.04,4.06
CCCCCC(=O)c1ccncc1,2.45,1.47,2.45
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)OC,4.31,2.43,3.21
CCCCCC(O)C=CC1C(O)CC(O)C1CC=CCCCC(=O)OCc1ccccc1,6.02,3.43,4.79
CCCCCCC(=O)Oc1ccc2c3c1OC1C(OS(=O)(=O)O)C=CC4C(C2)N(C)CCC341,1.93,3.16,3.33
CCCCCCC(CO[N+](=O)[O-])O[N+](=O)[O-],4.51,2.25,3.76
CCCCCCCCCCCCCCc1ccccc1,8.92,6.12,8.25
CCCCCCCCCCCCN=C=S,6.7,5.98,5.99
CCCCCCCCCCCCNCCO,4.26,4.03,4.22
C=C(C)C(=O)OCCCCCCCCCCCC,6.68,5.1,6.14
CCCCCCCCCCNCCO,3.27,3.5,3.31
CCCCCCCCNC(=O)N1C(=O)N(C)CC1O,2.35,2.76,2.19
CCCCCCCCNCCO,2.29,2.93,2.4
CCCCCCCCNC1=NS(=O)N=C1NCCSCc1ccc(CN(C)C)o1,5.12,2.63,3.36
CCCCCCCCOC(=O)c1cccnc1,4.08,3.45,3.69
CCCCCCCNCc1ccc(C)cc1,5.03,3.91,4.55
,-,-,-
CCCCCCCNC1=NS(=O)N=C1NCCSCc1ccc(CN(C)C)o1,4.63,1.49,2.91
CCCCCCCOC(C)=O,3.32,2.38,2.72
CCCCCCN=C=S,3.75,3.27,3.25
CCCCCCNC(=O)N1C(=O)N(C)CC1O,1.37,1.3,1.28
CCCCCCNCCO,1.31,1.39,1.49
CCCCCCNCc1ccc(C)cc1,4.54,3.65,4.1
,-,-,-
CCCCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,0.05,0.37,0.82
CCCCCCNC1=NS(=O)N=C1NCCSCc1ccc(CN(C)C)o1,4.14,1.26,2.45
C=CC(=O)OCCCCCC,3.18,2.27,2.96
CCCCCCOc1ccc(CC(=O)O)cc1OC,4.05,2.64,3.68
CCCCCI,3.56,2.96,3.31
CCCCCN(C)CC(=O)Nc1c(C)cccc1C,2.64,3.03,3.93
CCCCCN(CCCCC)CC(O)c1ccccc1,4.41,3.76,4.96
CCCCCNC(=O)N1C(=O)N(C)CC1O,0.88,1.01,0.83
CCCCCNCc1ccc(C)cc1,4.05,3.39,3.64
,-,-,-
CCCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-0.44,0.12,0.36
CCCCCOC1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,6.52,4.05,4.33
,-,-,-
CCCCCOCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-0.22,0.12,0.29
C=C1CC2c3c(O)cc(CCCCC)cc3OC(C)(C)C2CC1O,6.48,3.39,5.04
CCCCN(C)CC(=O)Nc1c(C)cccc1C,2.15,2.78,3.47
CCCCN(CCCC)C1CCc2c(OC)cccc2C1C,6.31,4.49,5.74
CCCCN(CCO)CCCC,2.01,2.01,2.44
CCCCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)cc2c1OC(C)C2,2.48,1.54,2.26
CCCCNC(=N)NC(=O)c1ccc(Cl)cc1,2.8,2.85,2.73
CCCCNC(=O)N1C(=O)N(C)CC1O,0.39,0.7,0.37
CCCCNC(C)CO,0.74,1.06,0.95
CCCCNC1CC(OC2CC(O)(C(=O)CO)Cc3c(O)c4c(c(O)c32)C(=O)c2c(OC)cccc2C4=O)OC(C)C1O,2.24,-0.82,1.92
CCCCNC1CCc2c(OC)cccc2C1C,4.63,3.55,3.88
CCCCNCC(C)O,0.74,1.06,0.95
CCCCNCc1ccc(C)cc1,3.56,3.12,3.18
CCCCNCc1ccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)cc1,1.82,1.37,2.41
CCCCNc1ccncc1S(=O)(=O)NC(=NC#N)NC(C)C,-0.43,1.12,1.57
,-,-,-
CCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-0.93,-0.14,-0.1
CCCCOC1C(=O)NC(=O)NC1=[N+]=[N-],0.82,-0.56,-1.28
CCCCOCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,5.8,3.61,3.81
,-,-,-
CCCCOCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-0.72,-0.12,-0.17
CCCCON=C(C)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)OC,4.78,2.69,4.07
CCCCc1c(O)c(=O)cc(C)n1C,1.38,0.73,1.65
CCCCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,2.94,1.56,3.14
CCCN(C)CC(=O)Nc1c(C)cccc1C,1.66,2.52,3.01
CCCN(C)CCO,0.05,0.71,0.65
CCCN(CC)CC(=O)Nc1c(C)cccc1C,2.15,2.78,3.36
CCCN(CCC)C1CCc2c(cccc2OC)C1,4.91,3.79,4.51
CCCN(CCC)C1CCc2c(O)cccc2C1,4.35,3.55,4.26
CCCN(CCC)C1CCc2c(O)cccc2C1C,4.77,3.79,4.58
CCCN(CCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)N(CCCl)N=O,3.04,2.31,2.33
C=CCN(N=O)C(=O)N(CCC)CCCCC(NC(C)=O)C(=O)NCc1ccccc1,3.63,2.45,2.74
CCCN(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)N(CCCl)N=O,3.53,2.53,2.79
CCCN(CCCCC(NC(C)=O)C(=O)NCc1ccccc1)C(=O)NCCCl,2.96,2.47,2.29
,-,-,-
CCCNC(=O)CCC(=O)NCc1c(O)c(=O)cc(C)n1C,-1.67,-0.69,-0.65
CCCNC(=O)CNC(=O)C=[N+]=[N-],-0.34,-0.96,-2.1
CCCNC(=O)N1C(=O)N(C)CC1O,-0.11,0.39,-0.09
,-,-,-
CCCNC1CCc2c(O)cccc2C1C,3.58,3.04,3.17
CCCNCc1ccc(C)cc1,3.06,2.84,2.73
CCCNc1ccncc1S(=O)(=O)NC(=NC#N)NC(C)C,-0.92,0.85,1.11
CCCNc1nc(CCC)nc(N2CCOCC2)n1,3.45,2.02,2.66
,-,-,-
CCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.42,-0.4,-0.55
CCCOC(=O)C=COc1ccccc1,2.87,2.3,2.54
CCCOC(=O)c1cnc2n(c1=O)C(C)CCC2,2.57,1.22,1.24
,-,-,-
CCCOCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.21,-0.36,-0.62
CCCON=C(C)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)OC,4.29,2.46,3.62
,-,-,-
,-,-,-
,-,-,-
,-,-,-
CCCSCc1cc(=O)c(O)co1,0.59,0.13,0.56
CCCc1c(O)c(=O)cc(C)n1C,0.89,0.44,1.19
,-,-,-
CCCc1nc(N)nc(N2CCCCC2)n1,3.66,2.24,2.43
CCCc1nc(N)nc(N2CCOCC2)n1,1.92,1.18,1.2
CCCc1nc(NC(C)C)nc(N2CCOCC2)n1,3.37,2.02,2.52
CCCc1nc(NC)nc(N2CCOCC2)n1,2.46,1.47,1.79
C#CCNc1nc(CCC)nc(N2CCOCC2)n1,2.94,1.93,2.98
CCCc1nc(NCC(=O)N(C)C)nc(N2CCOCC2)n1,1.55,1.1,1.27
CCCc1nc(NCC)nc(N2CCCCC2)n1,4.7,2.8,3.37
CCCc1nc(NCC)nc(N2CCOCC2)n1,2.95,1.75,2.14
C=CCNc1nc(CCC)nc(N2CCOCC2)n1,3.31,1.93,2.41
CCCc1nc(N2CCOCC2)nc(N(C)C(=O)c2ccccc2)n1,4.39,2.85,2.93
CCCc1nc(N(C)C)nc(N2CCOCC2)n1,3.01,1.75,2.11
CCCc1c(C)nc2cccc(C)n2c1=O,3.77,1.92,2.15
CCCc1nc(NC(=O)c2ccccc2)nc(N2CCOCC2)n1,3.84,2.61,2.73
CCCc1nc(NCN2CCCC2=O)nc(N2CCOCC2)n1,1.52,1.76,1.43
CCCc1nc(Nc2ccccc2OC)nc(N2CCOCC2)n1,4.21,2.55,3.48
,-,-,-
,-,-,-
CCN(C)CC(=O)Nc1c(C)cccc1C,1.17,2.26,2.49
CCN(C)CCO,-0.44,0.33,0.13
CCN(CC)C(=O)COC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1NCc1ccco1,2.22,1.17,2.18
CCN(CC)C(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,5.21,2.64,3.8
CCN(CC)C1CCc2c(OC)cccc2C1C,4.35,3.55,3.78
CCN(CC)CC(=O)Nc1ccc(N)cc1,0.77,1.45,1.12
CCN(CC)CC(=O)Nc1ccccc1,1.69,1.98,1.87
CCN(CC)CCC(=O)Nc1c(C)cc(N)cc1C,0.83,2.24,2.13
CCN(CC)CCC(=O)Nc1ccccc1,1.78,2.26,1.9
CCN(CC)CCCC(C)NC(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],2.92,2.98,2.68
CCN(CC)CCNC(=O)c1c(C)cc(N)cc1C,2.06,2.24,2.1
CCN(CC)CCNC(=O)c1c(C)cccc1C,2.98,2.78,2.85
CCN(CC)NC(=O)NS(=O)(=O)c1ccc(C)cc1,1.36,2.29,1.81
CCN(CC)c1ccc(-n2c(C(F)(F)F)nn(C)c2=S)cc1,4.18,2.83,3.91
CCN(CC)c1ccc(-n2c(C(F)(F)F)nn(C)c2=S)cn1,3.15,2.2,3.3
CCN(CC)c1nc(N)nc(Cl)n1,2.4,1.87,1.96
,-,-,-
,-,-,-
CCN1CCCC1CNC(=O)c1c(OC)ccc(OC)c1O,2.65,1.07,1.72
CCNC(=O)NS(=O)(=O)c1cnccc1NC1CCCCCCC1,2.57,1.64,2.34
CCNC(=O)NS(=O)(=O)c1cnccc1Nc1ccccc1C,1.53,1.42,1.76
CCNC(=S)NN=C(c1cccc([N+](=O)[O-])c1)c1ccccn1,2.69,1.77,3.04
CCNC(=S)NN=C(c1ccccn1)c1ccccn1,1.69,0.75,2.42
CCNC(=S)NS(=O)(=O)c1cnccc1NC1CCCCC1,1.83,1.08,2.32
CCNC(=S)SC,0.79,0.65,1.82
CCNC(=NC#N)NS(=O)(=O)c1cnccc1NC1CCCCC1,-0.05,1.37,1.72
CCNC(=NC#N)NS(=O)(=O)c1cnccc1NC1CCCCCC1,0.44,1.62,2.17
CCNC(=NC#N)NS(=O)(=O)c1cnccc1NC1CCCCCCC1,0.93,1.86,2.63
CCNC1CCc2c(OC)cccc2C1C,3.65,3.04,2.9
CCNCc1ccc(C)cc1,2.57,2.55,2.2
CCNN=Nc1ccc(C(N)=O)cc1,1.78,1.32,1.36
CCNc1ccncc1S(=O)(=O)NC(=NC#N)NC(C)C,-1.41,0.58,0.59
CCNc1nc(N)nc(O)n1,-0.47,0.84,0.69
CCNc1nc(N)nc(OC)n1,1.69,1.22,0.94
CCNc1nc(O)nc(NC(C)(C)C)n1,1.44,2.22,2.22
,-,-,-
CCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.91,-0.67,-1.08
CCOC(=O)C(=Cc1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,2.35,2.77,3.2
C=CCC(C)(C(=O)OCC)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,2.13,2.25,2.69
CCOC(=O)C(C)(Cc1cccc2ccccc12)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,4.17,3.84,4.57
CCOC(=O)C(C)(Cc1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,2.99,3.08,3.66
CCOC(=O)C(C)c1ccc2cc(OC)ccc2c1,4.25,3.26,3.42
CCOC(=O)C(Cc1ccccc1)(Cc1ccccc1)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,4.7,4.2,5.21
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C,1.96,1.22,1.19
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc(OC)c(O)c(OC)c1,2.85,1.21,1.92
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc(OC)c(OC)c(OC)c1,3.41,1.43,2.17
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cc(OC)cc(OC)c1,3.33,1.69,2.19
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccc(OC)c(OC)c1,3.33,1.69,2.19
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(OC)c1OC,3.33,1.69,2.19
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc2c1OCCO2,3.22,1.15,2.01
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2c1OCO2,4.14,1.78,2.72
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1c1cccc2c1OCO2,3.72,1.56,2.34
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1,3.17,2.22,2.22
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1ccccc1OCOC,2.99,1.82,2.06
CCOC(=O)CC(C(=O)OC)S(=O)(=O)c1ccc([N+](=O)[O-])cc1,0.37,1.31,1.5
CCOC(=O)CCCn1cc([N+](=O)[O-])nc1C,1.98,1.21,1.28
CCOC(=O)CCCn1ccnc1[N+](=O)[O-],1.44,1.31,0.98
CCOC(=O)CCCn1cnc([N+](=O)[O-])n1,0.62,1.87,0.84
CCOC(=O)N1COCc2c1ccc1cc3ccc4c(c3nc21)COCN4C(=O)OCC,5.3,3.33,3.2
CCOC(=O)Nc1ccc2cc3ccc4c(c3nc2c1)COCN4C(=O)OCC,4.48,3.09,3.39
CCOC(=O)Nc1ccc2cc3ccc4c(c3nc2c1)COC(=O)N4,2.05,2.75,2.98
CCOC(=O)OC(C)C1=CCSC2C(NC(=O)C(=NOC)c3csc(N)n3)C(=O)N12,-0.98,0.99,0.84
CCOC(=O)c1ccc(N=NN(C)C(=O)OCOC(=O)C(C)NC(C)=O)cc1,2.34,2.42,2.32
CCOC(=O)c1ccc(N=NN(C)C(=O)OCOC(C)=O)cc1,3.45,2.8,2.67
CCOC(=O)c1cccc(CN)c1,1.4,1.82,1.14
CCOC(=O)c1cccc(N(C)C)c1,2.89,2.38,2.2
CCOC(=O)c1cccc2c1CC(c1ccc(OC)cc1)C(OC(C)=O)C(=O)N2CCN(C)C,4.78,2.86,3.31
,-,-,-
,-,-,-
,-,-,-
,-,-,-
CCOC(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,5.13,2.61,3.89
CCOC(=O)c1cnc2ccc(C)cn2c1=O,1.78,0.78,0.37
,-,-,-
CCOCCCNc1ncnc2c1ncn2C1OC(CO)C(O)C1O,-1.7,-0.61,-1.15
CCOCCOCCOC1CCC(NC(=O)NC23CC4CC(CC(C4)C2)C3)CC1,4.5,2.7,2.63
CCOCCOCCOCCCCCNC(=O)NC12CC3CC(CC(C3)C1)C2,4.27,2.49,2.57
CCOCCOCCOc1ccc(NC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,4.95,2.94,3.16
CCON=C(C)c1cccc(Oc2nc(OC)cc(OC)n2)c1C(=O)OC,3.8,2.23,3.09
CCON=C(CC)C1=C(O)CC(c2cccc(Oc3ccc(Cl)c(Cl)c3)c2)CC1=O,6.39,3.86,5.16
CCON=C(CC)C1=C(O)CC(c2cccc(Oc3ncc(C(F)(F)F)cc3F)c2)CC1=O,5.08,3.5,4.37
CCOP(=O)(NC(C)CC)Oc1cc(C)ccc1[N+](=O)[O-],3,3.44,2.9
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1c(OC)cc(OC)cc1OC,0.87,1.47,-0.46
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccc(Cl)cc1,1.27,2.72,0.25
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccc([N+](=O)[O-])cc1,0.45,2.2,-0.52
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccccc1,0.63,2.19,-0.41
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccccn1,-0.56,0.77,-1.13
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1cccnc1,-0.56,0.77,-1.56
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1cc[n+]([O-])cc1,0.2,1.01,0.14
CCOP(=O)(OCC)C(C)(C)[N+]([O-])=Cc1ccncc1,-0.56,0.77,-1.56
CCOP(=O)(OCC)C(Cl)(Cl)P(=O)(OCC)OCC,1.06,1.29,2.79
CCOP(=O)(Oc1ccc(C#N)cc1)c1ccccc1,2.44,2.72,3.03
CCO[PH](=O)O,-1.38,0,-0.29
CCOc1ccc(N)c(OCC)c1,2.22,1.63,1.75
CCOc1ccc(C(=O)OCCCn2ccc(=O)c(O)c2C)cc1,1.91,1.17,1.59
CCOc1ccc(-n2nnnc2N)cc1,-0.16,1.78,1.19
,-,-,-
CCOc1ccccc1NC(=O)OC1C(CN(CC)CC)C2CCC1(C)C2(C)C,6.76,4.33,4.73
C=CCc1c(OC)cc(Cc2cnc(N)nc2N)cc1OCC,3.26,2.28,2.92
CCOc1ccc(NC(=O)OC(C)c2ccccc2)cc1OCC,5.02,3.65,4.22
CCOc1cccc(COC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)c1,4.08,3.03,3.69
CCOc1cccc(COC(=O)C2C(C=C(C)C)C2(C)C)c1,5.03,3.67,4.32
CCOc1cc2ncnc(Nc3cc(F)cc(C(F)(F)F)c3)c2cc1OCC,5.58,3.88,5.29
CCOc1cc2ncnc(Nc3ccc(F)cc3)c2cc1OCC,4.62,3.32,4.35
CCOc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC,5.31,3.55,4.89
CCOc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OCC,5.06,3.43,4.81
CCOc1cc2ncnc(Nc3cccc(F)c3)c2cc1OCC,4.62,3.32,4.35
CCOc1cc2ncnc(Nc3cccc(I)c3)c2cc1OCC,5.58,3.66,4.72
CCOc1cc2ncnc(Nc3ccccc3F)c2cc1OCC,4.62,3.32,4.35
,-,-,-
,-,-,-
CCS(=O)(=O)n1cc(-c2ccc(Cl)cc2)c(N2CCOCC2)c1C(=O)OC,1.97,2.05,3.23
,-,-,-
CCc1c(O)c(=O)ccn1CCCCO,0.27,-0.08,0.32
CCc1c(O)c(=O)ccn1CCCO,-0.22,-0.37,-0.26
CCc1cccc(C)c1NC(=O)OC,2.21,2.92,3.02
,-,-,-
CCc1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,4.72,2.43,3.77
CCc1ccc(OCC2CN=C(N)O2)cc1,2.21,1.6,2.49
CCc1cccc(COC(=O)C2C(C=C(C)C(=O)OC)C2(C)C)c1,4.54,3.55,4.3
CCc1cccc(COC(=O)C2C(C=C(C)C)C2(C)C)c1,5.49,4.23,4.93
CCc1cccc(Nc2ccncc2S(=O)(=O)NC(=NC#N)NC(C)C)c1,0.8,2.14,2.88
,-,-,-
,-,-,-
C[N+](C)([O-])C(c1ccccc1)c1ccccc1,4.21,-0.18,3.48
C[N+](C)([O-])CC(c1ccccc1)c1ccccc1,4.26,0.07,3.54
C[N+](C)([O-])CCC(c1ccccc1)c1ccccc1,5.2,0.31,3.93
C[N+](C)([O-])CCCC(c1ccccc1)c1ccccc1,5.69,0.55,4.38
C[N+](C)([O-])CCCCc1ccccc1,4.05,-0.73,3.1
C[N+](C)([O-])CCCN1c2ccccc2Sc2ccccc21,5.38,-0.53,4.04
C[N+](C)([O-])CCCc1ccccc1,3.56,-1.01,2.64
C[N+](C)([O-])CCc1ccccc1,2.85,-1.3,2.19
C[N+](C)([O-])Cc1ccccc1,2.58,-1.6,1.87
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1Br)CCC(c1ccccc1)O3,4.57,2.58,3.52
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C(=O)N(C)C)CCC(c1ccccc1)O3,3.11,1.71,2.66
CC(=O)c1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,3.36,1.58,2.99
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CCC(c1ccc(F)cc1)O3,4.43,2.58,3.31
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CCC(c1ccccc1)O3,4.23,2.21,3.1
Cc1ccccc1C1CCc2c(C(=O)N(C)C)cn3c(C)c(C)nc3c2O1,4.78,2.43,3.59
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CCC(c1ccccc1F)O3,4.43,2.58,3.31
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1C)CCC(c1cccs1)O3,4.05,1.83,3.05
Cc1nc2c3c(c(C(=O)N(C)C)cn2c1CO)CCC(c1ccccc1)O3,2.77,1.43,2.64
CC(=NNC(=S)N(C)C)c1cc(C)ccc1O,2.64,1.9,2.18
CN(C)C(C)(C)CO,-0.06,0.71,0.36
CN(C)C(C)(C)O,0.15,0.73,-0.12
CN(C)C(c1ccccc1)c1ccccc1,3.38,3.65,3.52
CN(C)C1=NC(=O)N(c2ccc(Cl)cc2)C1,3.49,1.92,1.97
CN(C)CCCC(c1ccccc1)c1ccccc1,4.85,4.38,4.42
CN(C)CCOC(=O)c1ccc(C(C)(C)C)cc1,3.43,3.18,3.22
CN(C)CCOC(=O)c1ccc(C(F)(F)F)cc1,2.49,3.06,2.77
CN(C)CCOC(=O)c1ccc(S(C)(=O)=O)cc1,0.1,1.3,1.35
Cc1cccc(C)c1OCCN(C)C,2.87,2.5,2.92
CN(C)CCOc1c(Cl)cccc1Cl,3.06,3.04,3.28
