Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
62,Molecule 62,O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)COC(=O)C)C4(C)(CC(O)C23))(C),2.2 (LOW reliability),2.2,1.92 (GOOD reliability),1.92,1.57 (MODERATE reliability),1.57
63,Molecule 63,N1(CC1)P(N2CC2)(N3CC3)=S,0.53 (EXPERIMENTAL value),1.87,0.53 (EXPERIMENTAL value),0.55,0.53 (EXPERIMENTAL value),-0.76
64,Molecule 64,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C.OP(O)(O)=O,[Error],-,[Error],-,[Error],-
65,Molecule 65,O=C1NC(=O)C(C(=O)N1)(C2=CCCCC2)CC,1.77 (EXPERIMENTAL value),2.49,1.77 (EXPERIMENTAL value),1.35,1.77 (EXPERIMENTAL value),1.74
66,Molecule 66,O=C1NC(=O)C(C(=O)N1)(CC=C)CC=C,1.15 (EXPERIMENTAL value),1.5,1.15 (EXPERIMENTAL value),0.69,1.15 (EXPERIMENTAL value),0.88
67,Molecule 67,O=C1NC(=O)C2(C(=O)N1)(CCCCC2),0.91 (EXPERIMENTAL value),1.17,0.91 (EXPERIMENTAL value),0.57,0.91 (EXPERIMENTAL value),0.83
68,Molecule 68,O=C1NC(NC(=O)C12(CCCCC2))=S,1.78 (EXPERIMENTAL value),1.55,1.78 (EXPERIMENTAL value),0.54,1.78 (EXPERIMENTAL value),1.73
69,Molecule 69,O=C(O)C1(N)(CCCC1),-2.28 (EXPERIMENTAL value),-1.67,-2.28 (EXPERIMENTAL value),0.15,-2.28 (EXPERIMENTAL value),0.28
70,Molecule 70,N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C,3.79 (EXPERIMENTAL value),5.83,3.79 (EXPERIMENTAL value),3.23,3.79 (EXPERIMENTAL value),5.53
71,Molecule 71,O=C(O)C(N)C(C)(C)S,-2.18 (MODERATE reliability),-2.18,0.16 (LOW reliability),0.16,0.06 (LOW reliability),0.06
72,Molecule 72,O=P(OC)(OC)C(O)C(Cl)(Cl)Cl,0.51 (EXPERIMENTAL value),-0.28,0.51 (EXPERIMENTAL value),0.49,0.51 (EXPERIMENTAL value),0.75
73,Molecule 73,O=S(=O)(c1ccc(OP(OC)(OC)=S)cc1)N(C)C,2.23 (EXPERIMENTAL value),2.64,2.23 (EXPERIMENTAL value),1.17,2.23 (EXPERIMENTAL value),1.91
74,Molecule 74,O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3,4.3 (EXPERIMENTAL value),4.2,4.3 (EXPERIMENTAL value),3.74,4.3 (EXPERIMENTAL value),3.89
75,Molecule 75,O=C(O)C(N)CS,-2.49 (EXPERIMENTAL value),-3.05,-2.49 (EXPERIMENTAL value),-0.7,-2.49 (EXPERIMENTAL value),-0.52
76,Molecule 76,O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C),1.46 (EXPERIMENTAL value),0.94,1.46 (EXPERIMENTAL value),1.44,1.46 (EXPERIMENTAL value),1.01
77,Molecule 77,O=C4C=C3CCC2C(C(=O)CC1(C)(C2(CCC1(O)(C(=O)CO))))C3(C)CC4,1.47 (EXPERIMENTAL value),1.16,1.47 (EXPERIMENTAL value),1.53,1.47 (EXPERIMENTAL value),1.03
78,Molecule 78,O=C2CCC3C4CCc1cc(O)ccc1C4(CCC23(C)),3.13 (EXPERIMENTAL value),4.12,3.13 (EXPERIMENTAL value),3.54,3.13 (EXPERIMENTAL value),3.77
79,Molecule 79,O=C2CCC3C4CCC1CC(O)CCC1(C)C4(CCC23(C)),3.69 (EXPERIMENTAL value),3.41,3.69 (EXPERIMENTAL value),3.8,3.69 (EXPERIMENTAL value),3.45
80,Molecule 80,O=C2CCC3C4CC=C1CC(O)CCC1(C)C4(CCC23(C)),3.23 (EXPERIMENTAL value),3.32,3.23 (EXPERIMENTAL value),3.7,3.23 (EXPERIMENTAL value),3.2
81,Molecule 81,Cl.CN(C)CCCN1c2ccccc2Sc2ccccc12,[Error],-,[Error],-,[Error],-
82,Molecule 82,c1ccc5c(c1)ccc4cc3c(ccc2ccccc23)cc45,6.75 (EXPERIMENTAL value),6.7,6.75 (EXPERIMENTAL value),5.78,6.75 (EXPERIMENTAL value),5.46
83,Molecule 83,O=C(NC1C(O)C(OC1(CO))n3cnc2c3(ncnc2N(C)C))C(N)Cc4ccc(OC)cc4,0.03 (EXPERIMENTAL value),-2.07,0.03 (EXPERIMENTAL value),-0.06,0.03 (EXPERIMENTAL value),-0.21
84,Molecule 84,O=C(O)Cc3c1cc(OC)ccc1n(C(=O)c2ccc(cc2)Cl)c3C,4.27 (EXPERIMENTAL value),4.32,4.27 (EXPERIMENTAL value),3.51,4.27 (EXPERIMENTAL value),4.21
85,Molecule 85,O(c1cc(cc(OC)c1(OC))CCN)C,0.78 (EXPERIMENTAL value),1.58,0.78 (EXPERIMENTAL value),1.12,0.78 (EXPERIMENTAL value),1.21
86,Molecule 86,n1ccc(NC(C)CCCN(CC)CC)c2ccc(cc12)Cl,4.63 (EXPERIMENTAL value),4.33,4.63 (EXPERIMENTAL value),3.51,4.63 (EXPERIMENTAL value),4.38
87,Molecule 87,n1cccc(c1)C2N(C)CCC2,1.17 (EXPERIMENTAL value),1.52,1.17 (EXPERIMENTAL value),1.27,1.17 (EXPERIMENTAL value),1.24
88,Molecule 88,O=C(O)C(N)Cc2c[nH]c1ccccc12,-1.06 (EXPERIMENTAL value),-1.22,-1.06 (EXPERIMENTAL value),0.87,-1.06 (EXPERIMENTAL value),1.25
89,Molecule 89,O=C1NC=C(C(=O)N1)C(F)(F)F,0.1 (LOW reliability),0.1,0.12 (LOW reliability),0.12,-0.11 (MODERATE reliability),-0.11
90,Molecule 90,[Na+].[O-]C(=O)c1ccccc1O,[Error],-,[Error],-,[Error],-
91,Molecule 91,O=C1C=NN(C(=O)N1)C2OC(CO)C(O)C2(O),-2.62 (LOW reliability),-2.62,-1.96 (MODERATE reliability),-1.96,-2.57 (LOW reliability),-2.57
92,Molecule 92,O=C(O)c2cc(c(cc2(NCc1occc1))Cl)S(=O)(=O)N,2.03 (EXPERIMENTAL value),1.6,2.03 (EXPERIMENTAL value),0.84,2.03 (EXPERIMENTAL value),1.75
93,Molecule 93,O=C(Oc1cc(c(OCCN(C)C)cc1C)C(C)C)C,3.17 (EXPERIMENTAL value),3.37,3.17 (EXPERIMENTAL value),2.89,3.17 (EXPERIMENTAL value),3.4
94,Molecule 94,O=C1NC(=O)N(C=C1I)C2OC(CO)C(O)C2,-0.96 (EXPERIMENTAL value),-0.92,-0.96 (EXPERIMENTAL value),-0.37,-0.96 (EXPERIMENTAL value),-1.4
95,Molecule 95,Oc1cccc(c1)C(O)C(N)C,-0.27 (EXPERIMENTAL value),-0.26,-0.27 (EXPERIMENTAL value),0.79,-0.27 (EXPERIMENTAL value),0.54
96,Molecule 96,OC(c1ccc2ccccc2(c1))CNC(C)C,3 (EXPERIMENTAL value),2.35,3 (EXPERIMENTAL value),2.85,3 (EXPERIMENTAL value),2.49
97,Molecule 97,O=C(NN)c1ccncc1,-0.7 (EXPERIMENTAL value),-1.95,-0.7 (EXPERIMENTAL value),-0.28,-0.7 (EXPERIMENTAL value),-0.81
98,Molecule 98,O=C(N1CCN(C(=O)CCBr)CC1)CCBr,0.25 (MODERATE reliability),0.25,1.38 (LOW reliability),1.38,0.65 (LOW reliability),0.65
99,Molecule 99,O=C(NNC(C)C)c1ccncc1,0.37 (EXPERIMENTAL value),0.56,0.37 (EXPERIMENTAL value),0.72,0.37 (EXPERIMENTAL value),0.51
100,Molecule 100,n1nc2n(n1)CCCCC2,0.87 (LOW reliability),0.87,1.26 (MODERATE reliability),1.26,0.95 (MODERATE reliability),0.95
101,Molecule 101,O=NN(CC)CC,0.48 (EXPERIMENTAL value),0.34,0.48 (EXPERIMENTAL value),0.56,0.48 (EXPERIMENTAL value),0.79
102,Molecule 102,O=C(N)c1ccccc1,0.64 (EXPERIMENTAL value),0.74,0.64 (EXPERIMENTAL value),1.29,0.64 (EXPERIMENTAL value),0.83
103,Molecule 103,O=C(O)c1ccncc1,0.32 (EXPERIMENTAL value),0.69,0.32 (EXPERIMENTAL value),0.12,0.32 (EXPERIMENTAL value),0.28
104,Molecule 104,O(c1ccc(c(c1)C)SC)P(OC)(OC)=S,4.09 (EXPERIMENTAL value),4.68,4.09 (EXPERIMENTAL value),2.49,4.09 (EXPERIMENTAL value),3.31
105,Molecule 105,N=C(Nc1ccc(cc1)Cl)NC(=N)NCCCCCCNC(=N)NC(=N)Nc2ccc(cc2)Cl,4.06 (LOW reliability),4.06,4.28 (LOW reliability),4.28,3.83 (LOW reliability),3.83
106,Molecule 106,O=[N+]([O-])OCC(O[N+](=O)[O-])CO[N+](=O)[O-],1.62 (EXPERIMENTAL value),2.22,1.62 (EXPERIMENTAL value),0.23,1.62 (EXPERIMENTAL value),1.49
107,Molecule 107,O=P(F)(OC(C)C)OC(C)C,0.68 (MODERATE reliability),0.68,1.12 (MODERATE reliability),1.12,1.35 (GOOD reliability),1.35
108,Molecule 108,O=S(=O)(OCCCCOS(=O)(=O)C)C,-0.68 (LOW reliability),-0.68,-0.5 (LOW reliability),-0.5,-0.29 (LOW reliability),-0.29
109,Molecule 109,O=C(O)CCCN,-3.17 (EXPERIMENTAL value),-3.6,-3.17 (EXPERIMENTAL value),-0.25,-3.17 (EXPERIMENTAL value),-0.62
110,Molecule 110,C(Cl)(Cl)(Cl)Cl,2.83 (EXPERIMENTAL value),2.44,2.83 (EXPERIMENTAL value),2.23,2.83 (EXPERIMENTAL value),3.58
111,Molecule 111,O=C1N=C(O)N(C(=O)C1(C2=CCCCC2)C)C,1.01 (MODERATE reliability),1.01,1.35 (MODERATE reliability),1.35,2.15 (GOOD reliability),2.15
112,Molecule 112,[Cl-].CC[N+](CC)(CC)CC,[Error],-,[Error],-,[Error],-
113,Molecule 113,O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1,3.83 (EXPERIMENTAL value),4.39,3.83 (EXPERIMENTAL value),2.14,3.83 (EXPERIMENTAL value),2.87
114,Molecule 114,O=C(O)CN,-3.21 (EXPERIMENTAL value),-3.41,-3.21 (EXPERIMENTAL value),-1.22,-3.21 (EXPERIMENTAL value),-0.98
115,Molecule 115,O=C(O)C(N)C,-2.91 (EXPERIMENTAL value),-2.99,-2.91 (EXPERIMENTAL value),-0.7,-2.91 (EXPERIMENTAL value),-0.6
116,Molecule 116,O=C(O)C(N)CO,-4.46 (LOW reliability),-4.46,-1.51 (LOW reliability),-1.51,-1.49 (LOW reliability),-1.49
117,Molecule 117,O=C(OCC(=O)C2CCC3C4CCC1=CC(=O)CCC1(C)C4(CCC23(C)))C,3.08 (EXPERIMENTAL value),3.26,3.08 (EXPERIMENTAL value),3.56,3.08 (EXPERIMENTAL value),3.5
118,Molecule 118,c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C),6.42 (EXPERIMENTAL value),7.05,6.42 (EXPERIMENTAL value),5.77,6.42 (EXPERIMENTAL value),5.64
119,Molecule 119,Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC,5.07 (EXPERIMENTAL value),5.64,5.07 (EXPERIMENTAL value),3.96,5.07 (EXPERIMENTAL value),5.09
120,Molecule 120,OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C=C)C4,3.44 (EXPERIMENTAL value),3.13,3.44 (EXPERIMENTAL value),2.19,3.44 (EXPERIMENTAL value),2.73
121,Molecule 121,c3ccc4cc2c(ccc1ccccc12)cc4(c3),5.76 (EXPERIMENTAL value),5.52,5.76 (EXPERIMENTAL value),5.09,5.76 (EXPERIMENTAL value),4.56
122,Molecule 122,O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,0.06 (LOW reliability),0.06,2.12 (GOOD reliability),2.12,1.12 (MODERATE reliability),1.12
