Prediction and Applicability Domain analysis for models:,,,,,,,,
LogP model (Meylan-Kowwin) (version 1.1.5),,,,,,,,
LogP model (MLogP) (version 1.0.1),,,,,,,,
LogP model (ALogP) (version 1.0.1),,,,,,,,
(calculation core version : 1.3.19),,,,,,,,
,,,,,,,,
No.,tId,SMILES,LogP model (Meylan-Kowwin)-assessment,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-assessment,LogP model (MLogP)-prediction,LogP model (ALogP)-assessment,LogP model (ALogP)-prediction
13796,Molecule 13796,O=C1c3ccccc3(N=C(N1CC(=O)N2CCOCC2)C),0.17 (MODERATE reliability),0.17,0.39 (GOOD reliability),0.39,0.2 (MODERATE reliability),0.2
13797,Molecule 13797,O=C(NCc1ccccc1)CN2C(=O)c3ccccc3(N=C2C),2.05 (MODERATE reliability),2.05,2.05 (MODERATE reliability),2.05,1.89 (LOW reliability),1.89
13798,Molecule 13798,O=C1c3ccccc3(N=C(N1CC(=O)NCc2occc2)C),1.42 (MODERATE reliability),1.42,0.48 (LOW reliability),0.48,1.29 (LOW reliability),1.29
13799,Molecule 13799,O=C(NNc1ccccc1)CN2C(=O)c3ccccc3(N=C2C),1.77 (MODERATE reliability),1.77,2.12 (MODERATE reliability),2.12,1.78 (LOW reliability),1.78
13800,Molecule 13800,O=C(O)CN1C(=O)c2ccccc2(N=C1C),0.72 (MODERATE reliability),0.72,0.89 (LOW reliability),0.89,0.7 (MODERATE reliability),0.7
13801,Molecule 13801,O=C(O)CCN1C(=O)c2ccccc2(N=C1C),1.22 (MODERATE reliability),1.22,1.17 (MODERATE reliability),1.17,0.74 (MODERATE reliability),0.74
13802,Molecule 13802,n3ccc2c1ccccc1n(c2c3C)C,3.14 (LOW reliability),3.14,1.78 (LOW reliability),1.78,2.66 (MODERATE reliability),2.66
13803,Molecule 13803,O=C3Oc2c(cc1ccoc1c2C)C(=C3C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.58 (LOW reliability),3.58
13804,Molecule 13804,O=C2Oc1cc3occc3(cc1C(=C2C)C),3.45 (LOW reliability),3.45,2.15 (GOOD reliability),2.15,3.1 (LOW reliability),3.1
13805,Molecule 13805,O=C2Oc1c3ccoc3(ccc1C(=C2C)C),3.45 (LOW reliability),3.45,2.15 (MODERATE reliability),2.15,3.1 (MODERATE reliability),3.1
13806,Molecule 13806,O=C1Oc2c3cc(oc3(cc(c2(C=C1))C))C,3.45 (MODERATE reliability),3.45,2.15 (MODERATE reliability),2.15,2.84 (GOOD reliability),2.84
13807,Molecule 13807,O=C3C(=C(c2ccc1oc(cc1c2N3C)C)C)C,4.05 (LOW reliability),4.05,2.26 (MODERATE reliability),2.26,2.8 (MODERATE reliability),2.8
13808,Molecule 13808,O=C2Oc1c3cc(oc3(ccc1C(=C2C)C))C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.24 (MODERATE reliability),3.24
13809,Molecule 13809,O=C3C=C(c2ccc1oc(cc1c2N3C)C)C,3.51 (MODERATE reliability),3.51,2 (MODERATE reliability),2,2.35 (MODERATE reliability),2.35
13810,Molecule 13810,O=C2Oc1c3cc(oc3(ccc1C(=C2)C))C,3.45 (LOW reliability),3.45,2.15 (MODERATE reliability),2.15,2.8 (GOOD reliability),2.8
13811,Molecule 13811,O=C3Oc2c(ccc1oc(cc12)C)C=C3C,3.45 (LOW reliability),3.45,2.15 (MODERATE reliability),2.15,2.8 (GOOD reliability),2.8
13812,Molecule 13812,O=C1c3ccccc3(c2nnc(cc12)C),2.05 (MODERATE reliability),2.05,1.48 (MODERATE reliability),1.48,2.11 (MODERATE reliability),2.11
13813,Molecule 13813,O=C2Oc3cc1oc(cc1c(c3(C=C2))C)C,3.45 (MODERATE reliability),3.45,2.15 (MODERATE reliability),2.15,2.84 (GOOD reliability),2.84
13814,Molecule 13814,O=C3Oc2cc(c1cc(oc1c2C(=C3)C)C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.28 (MODERATE reliability),3.28
13815,Molecule 13815,O=C2Oc1cc3oc(cc3(cc1C(=C2)C))C,3.45 (LOW reliability),3.45,2.15 (MODERATE reliability),2.15,2.8 (GOOD reliability),2.8
13816,Molecule 13816,O=C1Oc3c(C=C1)cc2cc(oc2c3C)C,3.45 (MODERATE reliability),3.45,2.15 (MODERATE reliability),2.15,2.84 (GOOD reliability),2.84
13817,Molecule 13817,O=C3Oc2c(ccc1occ(c12)C)C=C3C,3.45 (LOW reliability),3.45,2.15 (MODERATE reliability),2.15,3.14 (MODERATE reliability),3.14
13818,Molecule 13818,O=C3Oc2c(ccc1occc12)C=C3C,2.9 (MODERATE reliability),2.9,1.87 (MODERATE reliability),1.87,2.65 (GOOD reliability),2.65
13819,Molecule 13819,Cc3ccc(CNc1ncnc2ncnc12)cc3,[Error],-,[Error],-,[Error],-
13820,Molecule 13820,Cc3cccc(CNc1ncnc2ncnc12)c3,[Error],-,[Error],-,[Error],-
13821,Molecule 13821,Cc3cccc4COP(=O)(OCC1OC(C=C1)n2cc(C)c(=O)nc2=O)Oc34,[Error],-,[Error],-,[Error],-
13822,Molecule 13822,O=C(c4cn1c(nc(c1C)C)c3OC(c2ccccc2)CCc34)N5CC(O)C5,3.07 (LOW reliability),3.07,1.65 (MODERATE reliability),1.65,2.41 (MODERATE reliability),2.41
13823,Molecule 13823,O=C(c4cn1c(nc(c1C)C)c3OC(c2ccccc2)CCc34)N5CCC5,4.61 (LOW reliability),4.61,2.43 (LOW reliability),2.43,2.98 (LOW reliability),2.98
13824,Molecule 13824,O=C(c4cn1c(nc(c1C)C)c3OC(c2ccccc2)CCc34)N5CCCC5,5.1 (LOW reliability),5.1,2.64 (MODERATE reliability),2.64,3.56 (LOW reliability),3.56
13825,Molecule 13825,O=C(NC1CC1)c5cn2c(nc(c2C)C)c4OC(c3ccccc3)CCc45,3.79 (LOW reliability),3.79,2.43 (LOW reliability),2.43,3.39 (MODERATE reliability),3.39
13826,Molecule 13826,O=C(NC1CCC1)c5cn2c(nc(c2C)C)c4OC(c3ccccc3)CCc45,5.31 (LOW reliability),5.31,2.64 (MODERATE reliability),2.64,3.84 (LOW reliability),3.84
13827,Molecule 13827,O=C(Nc1ccccc1)c5cn2c(nc(c2C)C)c4OC(c3ccccc3)CCc45,5.82 (LOW reliability),5.82,3.11 (LOW reliability),3.11,4.47 (LOW reliability),4.47
13828,Molecule 13828,O=C(N)c4cn1c(nc(c1C)C)c3OC(c2ccccc2)CCc34,3.55 (LOW reliability),3.55,1.76 (LOW reliability),1.76,2.69 (MODERATE reliability),2.69
13829,Molecule 13829,O=C(O)c4cn1c(nc(c1C)C)c3OC(c2ccccc2)CCc34,4.69 (LOW reliability),4.69,2.16 (LOW reliability),2.16,3.29 (LOW reliability),3.29
13830,Molecule 13830,Cc3oc2c(C)cc1c(C)cc(=O)nc1c2c3C,[Error],-,[Error],-,[Error],-
13831,Molecule 13831,O=C1Oc2c(C=C1)cc(c3oc(c(c23)C)C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.32 (MODERATE reliability),3.32
13832,Molecule 13832,O=C1Oc3c(C=C1)c(cc2oc(c(c23)C)C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.32 (MODERATE reliability),3.32
13833,Molecule 13833,O=C2Oc1cc3oc(c(c3(cc1C(=C2)C))C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.28 (MODERATE reliability),3.28
13834,Molecule 13834,O=C2Oc3cc1oc(c(c1c(c3(C=C2))C)C)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.32 (MODERATE reliability),3.32
13835,Molecule 13835,O=C1Oc2cc3oc(c(c3(cc2(C=C1)))C)C,3.45 (MODERATE reliability),3.45,2.15 (MODERATE reliability),2.15,2.84 (GOOD reliability),2.84
13836,Molecule 13836,Cc3oc2ccc1c(C)cc(=O)nc1c2c3C,[Error],-,[Error],-,[Error],-
13837,Molecule 13837,O=C3Oc2c(ccc1oc(c(c12)C)C)C(=C3)C,4 (LOW reliability),4,2.41 (MODERATE reliability),2.41,3.28 (MODERATE reliability),3.28
13838,Molecule 13838,O=C1Oc3c(C=C1)ccc2oc(c(c23)C)C,3.45 (MODERATE reliability),3.45,2.15 (MODERATE reliability),2.15,2.84 (GOOD reliability),2.84
13839,Molecule 13839,O=C2Oc1nc3oc(c(c3(cc1C(=C2C)C))C)C,3.81 (LOW reliability),3.81,2.02 (MODERATE reliability),2.02,3.18 (MODERATE reliability),3.18
13840,Molecule 13840,O=C2Oc1nc3oc(c(c3(cc1C(=C2)C))C)C,3.26 (MODERATE reliability),3.26,1.76 (MODERATE reliability),1.76,2.73 (MODERATE reliability),2.73
13841,Molecule 13841,O=C2Oc3nc1oc(c(c1c(c3(C=C2))C)C)C,3.26 (MODERATE reliability),3.26,1.76 (MODERATE reliability),1.76,2.77 (MODERATE reliability),2.77
13842,Molecule 13842,O=C1Oc2nc3oc(c(c3(cc2(C=C1)))C)C,2.72 (MODERATE reliability),2.72,1.49 (MODERATE reliability),1.49,2.28 (MODERATE reliability),2.28
13843,Molecule 13843,O=C3Oc1c(cc(c2c1c(c(C)s2)C)C)C(=C3)C,5 (LOW reliability),5,3.5 (LOW reliability),3.5,4.33 (LOW reliability),4.33
13844,Molecule 13844,O=C2Oc1cc3c(cc1C(=C2)C)c(c(C)s3)C,4.45 (LOW reliability),4.45,3.25 (MODERATE reliability),3.25,3.84 (LOW reliability),3.84
13845,Molecule 13845,O=C3Oc1c(ccc2c1c(c(C)s2)C)C(=C3)C,4.45 (LOW reliability),4.45,3.25 (MODERATE reliability),3.25,3.84 (LOW reliability),3.84
13846,Molecule 13846,Cc4cc(C)c3OP(=O)(OCC1OC(C=C1)n2cc(C)c(=O)nc2=O)OCc3c4,[Error],-,[Error],-,[Error],-
13847,Molecule 13847,Cc4ccc3OP(=O)(OCC1OC(C=C1)n2cc(C)c(=O)nc2=O)OCc3c4,[Error],-,[Error],-,[Error],-
13848,Molecule 13848,Cc4cn(C3OC(COP2(=O)OCc1cc(Cl)ccc1O2)C=C3)c(=O)nc4=O,[Error],-,[Error],-,[Error],-
13849,Molecule 13849,Cc4cn(C3OC(COP2(=O)OCc1cc(ccc1O2)N(=O)=O)C=C3)c(=O)nc4=O,[Error],-,[Error],-,[Error],-
13850,Molecule 13850,Cc4cn(C3OC(COP2(=O)OCc1ccccc1O2)C=C3)c(=O)nc4=O,[Error],-,[Error],-,[Error],-
13851,Molecule 13851,C#CCCCCl,2.55 (GOOD reliability),2.55,2.46 (GOOD reliability),2.46,2.82 (GOOD reliability),2.82
13852,Molecule 13852,O=C(Nc1ccc(c(c1)Cl)Cl)CC=C,3.23 (GOOD reliability),3.23,3.27 (GOOD reliability),3.27,3.01 (GOOD reliability),3.01
13853,Molecule 13853,n1cnn(c1)CC2(OCC3(CO2)(CCC4OC4(C3)))c5ccc(cc5Cl)Cl,3.93 (MODERATE reliability),3.93,3.83 (MODERATE reliability),3.83,2.92 (GOOD reliability),2.92
13854,Molecule 13854,O=C1C=C(Oc2ccccc12)c3ccc(cc3Cl)Cl,4.8 (LOW reliability),4.8,3.64 (LOW reliability),3.64,4.47 (LOW reliability),4.47
13855,Molecule 13855,O=C2C=C(c1ccc(cc1)Cl)C(=O)N2c3ccc(cc3)Cl,2.29 (LOW reliability),2.29,3.39 (LOW reliability),3.39,4.2 (GOOD reliability),4.2
13856,Molecule 13856,O=C2C=C(N1CCCC1)CN2c3ccc(cc3)Cl,2.59 (MODERATE reliability),2.59,2.3 (MODERATE reliability),2.3,2.42 (MODERATE reliability),2.42
13857,Molecule 13857,O=C2C=C(N1CCCCC1)CN2c3ccc(cc3)Cl,3.08 (MODERATE reliability),3.08,2.55 (MODERATE reliability),2.55,2.88 (MODERATE reliability),2.88
13858,Molecule 13858,O=C2C=C(N1CCCCCC1)CN2c3ccc(cc3)Cl,3.57 (MODERATE reliability),3.57,2.79 (MODERATE reliability),2.79,3.33 (MODERATE reliability),3.33
13859,Molecule 13859,O=C2C=C(N1CCOCC1)CN2c3ccc(cc3)Cl,1.33 (MODERATE reliability),1.33,1.49 (MODERATE reliability),1.49,1.65 (MODERATE reliability),1.65
13860,Molecule 13860,O=C2N=C(N1CCCC1)CN2c3ccc(cc3)Cl,2.81 (MODERATE reliability),2.81,2.45 (MODERATE reliability),2.45,2.43 (MODERATE reliability),2.43
13861,Molecule 13861,O=C2N=C(N1CCCCC1)CN2c3ccc(cc3)Cl,3.3 (MODERATE reliability),3.3,2.71 (MODERATE reliability),2.71,2.88 (MODERATE reliability),2.88
13862,Molecule 13862,n1nn(c2ccccc12)CCN4CCN(c3ccc(cc3)Cl)CC4,3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.07 (MODERATE reliability),4.07
13863,Molecule 13863,n1c4ccccc4(nn1CCN3CCN(c2ccc(cc2)Cl)CC3),3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.03 (MODERATE reliability),4.03
13864,Molecule 13864,O=C1C=C(C(=O)N1c2ccc(cc2)Cl)N3CCCC3,0.64 (LOW reliability),0.64,1.81 (MODERATE reliability),1.81,2.28 (MODERATE reliability),2.28
13865,Molecule 13865,O=C1C=C(C(=O)N1c2ccc(cc2)Cl)N3CCCCC3,1.13 (LOW reliability),1.13,2.06 (MODERATE reliability),2.06,2.74 (MODERATE reliability),2.74
13866,Molecule 13866,O=C1C=C(C(=O)N1c2ccc(cc2)Cl)N3CCOCC3,-0.62 (LOW reliability),-0.62,1.03 (MODERATE reliability),1.03,1.51 (MODERATE reliability),1.51
13867,Molecule 13867,n3nn(OCCCN2CCN(c1ccc(cc1)Cl)CC2)c4ccccc34,3.04 (LOW reliability),3.04,3.18 (LOW reliability),3.18,4.17 (MODERATE reliability),4.17
13868,Molecule 13868,Clc1ccc(cc1)c2cnc(C#N)c2N3CCOCC3,[Error],-,[Error],-,[Error],-
13869,Molecule 13869,Clc1ccc(cc1)c2cnc(C(=O)NCC=C)c2N3CCOCC3,[Error],-,[Error],-,[Error],-
13870,Molecule 13870,Clc1ccc(cc1)c2cncc2N3CCOCC3,[Error],-,[Error],-,[Error],-
13871,Molecule 13871,n1ccccc1n2ncc(c2)c3ccc(cc3)Cl,3.2 (MODERATE reliability),3.2,2.87 (LOW reliability),2.87,3.63 (MODERATE reliability),3.63
13872,Molecule 13872,n1oc(nc1c2ccc(cc2)Cl)N3CCOCC3,1.92 (MODERATE reliability),1.92,2.21 (MODERATE reliability),2.21,2.24 (MODERATE reliability),2.24
13873,Molecule 13873,O=C1C=C(Oc2ccccc12)c3ccc(cc3)Cl,4.15 (MODERATE reliability),4.15,3.13 (LOW reliability),3.13,3.8 (GOOD reliability),3.8
13874,Molecule 13874,Clc1ccc(cc1)n2nc(cc2=O)c3ccccc3,[Error],-,[Error],-,[Error],-
13875,Molecule 13875,O=C1C=C(ON1c2ccc(cc2)Cl)c3ccccc3,3.96 (LOW reliability),3.96,3.12 (MODERATE reliability),3.12,3.25 (MODERATE reliability),3.25
13876,Molecule 13876,O=C(Nc1ncc([N+](=O)[O-])s1)c2ccc(c(c2)Cl)Cl,3.11 (LOW reliability),3.11,2.29 (LOW reliability),2.29,2.96 (LOW reliability),2.96
13877,Molecule 13877,O=C2N(c1ccc(c(c1)Cl)Cl)C(=O)CC2,1.93 (MODERATE reliability),1.93,2.18 (MODERATE reliability),2.18,2.32 (LOW reliability),2.32
13878,Molecule 13878,O=C2N=C(N1CCOCC1)CN2c3ccc(c(c3)Cl)Cl,2.2 (MODERATE reliability),2.2,2.19 (MODERATE reliability),2.19,2.32 (MODERATE reliability),2.32
13879,Molecule 13879,O=C2N=C(N1CCOCC1)CN2Cc3c(cccc3Cl)Cl,1.77 (LOW reliability),1.77,2.44 (LOW reliability),2.44,2.33 (LOW reliability),2.33
13880,Molecule 13880,O=C1N(C(=O)CC1)c2c(cccc2Cl)Cl,1.93 (MODERATE reliability),1.93,2.18 (LOW reliability),2.18,2.32 (LOW reliability),2.32
13881,Molecule 13881,O=C1C=C(Oc2ccccc12)c3c(cccc3Cl)Cl,4.8 (LOW reliability),4.8,3.64 (LOW reliability),3.64,4.47 (LOW reliability),4.47
13882,Molecule 13882,n1nn(c2ccccc12)CCN4CCN(c3cccc(c3)Cl)CC4,3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.07 (MODERATE reliability),4.07
13883,Molecule 13883,n1c4ccccc4(nn1CCN3CCN(c2cccc(c2)Cl)CC3),3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.03 (MODERATE reliability),4.03
13884,Molecule 13884,n3nn(OCCCN2CCN(c1cccc(c1)Cl)CC2)c4ccccc34,3.04 (LOW reliability),3.04,3.18 (LOW reliability),3.18,4.17 (MODERATE reliability),4.17
13885,Molecule 13885,O=C1C=C(Oc2ccc(cc12)Cl)c3cccc(c3)Cl,4.8 (LOW reliability),4.8,3.64 (LOW reliability),3.64,4.47 (LOW reliability),4.47
13886,Molecule 13886,O=C1C=C(Oc2ccccc12)c3cccc(c3)Cl,4.15 (MODERATE reliability),4.15,3.13 (LOW reliability),3.13,3.8 (GOOD reliability),3.8
13887,Molecule 13887,O=C2N=C(N1CCOCC1)CN2Cc3ccccc3Cl,1.13 (MODERATE reliability),1.13,1.92 (MODERATE reliability),1.92,1.66 (MODERATE reliability),1.66
13888,Molecule 13888,Clc1ccccc1CNc2ncnc3ncnc23,[Error],-,[Error],-,[Error],-
13889,Molecule 13889,n1nn(c2ccccc12)CCN4CCN(c3ccccc3Cl)CC4,3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.07 (MODERATE reliability),4.07
13890,Molecule 13890,n1c4ccccc4(nn1CCN3CCN(c2ccccc2Cl)CC3),3.02 (MODERATE reliability),3.02,2.64 (MODERATE reliability),2.64,4.03 (MODERATE reliability),4.03
13891,Molecule 13891,n3nn(OCCCN2CCN(c1ccccc1Cl)CC2)c4ccccc34,3.04 (LOW reliability),3.04,3.18 (LOW reliability),3.18,4.17 (MODERATE reliability),4.17
13892,Molecule 13892,O=C1C=C(Oc2ccccc12)c3ccccc3Cl,4.15 (MODERATE reliability),4.15,3.13 (LOW reliability),3.13,3.8 (GOOD reliability),3.8
13893,Molecule 13893,N#CN=C1NCCN1Cc2cnccc2Cl,0.94 (LOW reliability),0.94,1.25 (MODERATE reliability),1.25,0.78 (LOW reliability),0.78
13894,Molecule 13894,c1ccc3c(c1)cc2ccccc2c3Cl,4.99 (MODERATE reliability),4.99,4.78 (MODERATE reliability),4.78,4.31 (MODERATE reliability),4.31
13895,Molecule 13895,O=C2C=C(Oc1c2(cc(cc1Cl)Cl))c3ccccc3,4.8 (LOW reliability),4.8,3.64 (LOW reliability),3.64,4.47 (LOW reliability),4.47
13896,Molecule 13896,O(c1ccccc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,6.63 (MODERATE reliability),6.63,4.97 (LOW reliability),4.97,6.05 (GOOD reliability),6.05
13897,Molecule 13897,O=C1c2ccc(cc2(OCN1CCO[N+](=O)[O-]))Cl,3.29 (LOW reliability),3.29,1.81 (LOW reliability),1.81,2.12 (LOW reliability),2.12
13898,Molecule 13898,O=C1c2cc(ccc2(OCN1CCO[N+](=O)[O-]))Cl,3.29 (LOW reliability),3.29,1.81 (LOW reliability),1.81,2.12 (LOW reliability),2.12
13899,Molecule 13899,O=C1C=C(Oc2ccc(cc12)Cl)c3ccccc3,4.15 (MODERATE reliability),4.15,3.13 (LOW reliability),3.13,3.8 (GOOD reliability),3.8
13900,Molecule 13900,O=C1C=C(Oc2ccc(cc12)Cl)c3ccccc3Cl,4.8 (LOW reliability),4.8,3.64 (LOW reliability),3.64,4.47 (LOW reliability),4.47
13901,Molecule 13901,O=C2N(c1cccc(c1Cl)Cl)C(=O)CC2,1.93 (MODERATE reliability),1.93,2.18 (MODERATE reliability),2.18,2.32 (LOW reliability),2.32
13902,Molecule 13902,O(c1cccc(c1)Cl)c2c(cc(cc2Cl)Cl)Cl,6.63 (MODERATE reliability),6.63,4.97 (LOW reliability),4.97,6.05 (GOOD reliability),6.05
13903,Molecule 13903,O1c3cc(c(cc3(Oc2c1c(cc(c2Cl)Cl)Cl))Cl)Cl,7.56 (MODERATE reliability),7.56,4.33 (LOW reliability),4.33,6.44 (MODERATE reliability),6.44
13904,Molecule 13904,Clc3ccc(C=NOCCc1nnc(n1)c2ccccc2)cc3,[Error],-,[Error],-,[Error],-
13905,Molecule 13905,n1nc(oc1c2ccccc2)CCON=Cc3ccc(cc3)Cl,5.11 (LOW reliability),5.11,3.15 (MODERATE reliability),3.15,3.77 (LOW reliability),3.77
13906,Molecule 13906,Clc3ccc(CNc1ncnc2ncnc12)cc3,[Error],-,[Error],-,[Error],-
13907,Molecule 13907,O=C2N=C(N1CCOCC1)CN2Cc3cccc(c3)Cl,1.13 (MODERATE reliability),1.13,1.92 (MODERATE reliability),1.92,1.66 (MODERATE reliability),1.66
13908,Molecule 13908,Clc3cccc(CNc1ncnc2ncnc12)c3,[Error],-,[Error],-,[Error],-
13909,Molecule 13909,n1ccn(c1CC2Oc3ccccc3(OC2))C,2.78 (MODERATE reliability),2.78,0.7 (LOW reliability),0.7,1.98 (MODERATE reliability),1.98
13910,Molecule 13910,c1cc2c(cc1Cl)c3c(n2C)CNCC3,3.22 (LOW reliability),3.22,2.21 (LOW reliability),2.21,2.9 (LOW reliability),2.9
13911,Molecule 13911,O=[N+]([O-])c1ccc2c(c1)c3c(n2C)CNCC3,2.4 (LOW reliability),2.4,1.52 (LOW reliability),1.52,2.13 (LOW reliability),2.13
13912,Molecule 13912,O3CCN(c2cn(cc2(c1ccc(cc1)Cl))C)CC3,3.63 (LOW reliability),3.63,2.14 (LOW reliability),2.14,3.16 (MODERATE reliability),3.16
13913,Molecule 13913,FC(F)(F)C2=NN(C(N2(c1ccccc1))=S)C,3.02 (LOW reliability),3.02,2.32 (MODERATE reliability),2.32,3.05 (MODERATE reliability),3.05
13914,Molecule 13914,O=C(NCC(F)(F)F)NS(=O)(=O)c2cnccc2(NC1CCCCCC1),2.49 (LOW reliability),2.49,1.76 (MODERATE reliability),1.76,2.54 (LOW reliability),2.54
13915,Molecule 13915,O=C(NCC(F)(F)F)NS(=O)(=O)c2cnccc2(NC1CCCCCCC1),2.99 (LOW reliability),2.99,2 (MODERATE reliability),2,3 (LOW reliability),3
13916,Molecule 13916,FC(F)(F)c1ccccc1CNc2ncnc3ncnc23,[Error],-,[Error],-,[Error],-
13917,Molecule 13917,O=C1c2ccc(cc2(OCN1CCO[N+](=O)[O-]))C(F)(F)F,3.6 (LOW reliability),3.6,2.23 (MODERATE reliability),2.23,2.4 (MODERATE reliability),2.4
13918,Molecule 13918,O=C2c1cc(nnc1c3ccccc23)C(F)(F)F,2.46 (MODERATE reliability),2.46,2.16 (LOW reliability),2.16,3.19 (MODERATE reliability),3.19
13919,Molecule 13919,FC(F)(F)c3ccc(CNc1ncnc2ncnc12)cc3,[Error],-,[Error],-,[Error],-
13920,Molecule 13920,FC(F)(F)c3cccc(CNc1ncnc2ncnc12)c3,[Error],-,[Error],-,[Error],-
13921,Molecule 13921,O=C1Nc3ccccc3(C(=NC1)c2ccc(F)cc2),2.83 (MODERATE reliability),2.83,2.58 (GOOD reliability),2.58,2.81 (GOOD reliability),2.81
13922,Molecule 13922,O=C1C=C(C(=O)N1c2ccc(F)cc2)N3CCCC3,0.19 (LOW reliability),0.19,1.69 (MODERATE reliability),1.69,1.83 (MODERATE reliability),1.83
13923,Molecule 13923,O=C1C=C(C(=O)N1c2ccc(F)cc2)N3CCCCC3,0.69 (LOW reliability),0.69,1.94 (MODERATE reliability),1.94,2.28 (MODERATE reliability),2.28
13924,Molecule 13924,O=C1C=C(C(=O)N1c2ccc(F)cc2)N3CCOCC3,-1.06 (LOW reliability),-1.06,0.9 (MODERATE reliability),0.9,1.05 (MODERATE reliability),1.05
13925,Molecule 13925,O=C2C=C(N1CCOCC1)CN2c3ccc(F)c(c3)Cl,1.53 (LOW reliability),1.53,1.88 (LOW reliability),1.88,1.85 (LOW reliability),1.85
13926,Molecule 13926,Fc1ccccc1CNc2ncnc3ncnc23,[Error],-,[Error],-,[Error],-
13927,Molecule 13927,Fc2cn(Cc1ccc(Cl)cc1Cl)c(=O)nc2=O,[Error],-,[Error],-,[Error],-
13928,Molecule 13928,Fc3ccc(CNc1ncnc2ncnc12)cc3,[Error],-,[Error],-,[Error],-
13929,Molecule 13929,Fc3cccc(CNc1ncnc2ncnc12)c3,[Error],-,[Error],-,[Error],-
13930,Molecule 13930,O=C(Nc1ccccc1)c2ccccc2I,4.17 (LOW reliability),4.17,3.9 (LOW reliability),3.9,3.19 (MODERATE reliability),3.19
13931,Molecule 13931,O=C2N=C(N1CCOCC1)CN2Cc3ccc(cc3)I,1.65 (MODERATE reliability),1.65,2.17 (LOW reliability),2.17,1.57 (MODERATE reliability),1.57
13932,Molecule 13932,N#Cc1cccc(c1)Cc2ncccn2,1.74 (MODERATE reliability),1.74,1.08 (LOW reliability),1.08,1.61 (MODERATE reliability),1.61
13933,Molecule 13933,N#Cc1cccc(c1)Cn2nccc2,1.86 (MODERATE reliability),1.86,1.28 (LOW reliability),1.28,1.94 (MODERATE reliability),1.94
13934,Molecule 13934,N#Cc1cccc(c1)Cn2cncc2,1.86 (MODERATE reliability),1.86,1.28 (LOW reliability),1.28,1.39 (MODERATE reliability),1.39
13935,Molecule 13935,N#Cc1cccc(c1)Cn3cnc2ccccc23,3.04 (MODERATE reliability),3.04,2.51 (MODERATE reliability),2.51,3.01 (MODERATE reliability),3.01
13936,Molecule 13936,N(c1ccccc1)c2ncnc3ncnc23,[Error],-,[Error],-,[Error],-
13937,Molecule 13937,N=C(N)Nc1nc(cs1)c2ccc(N)cc2,0.48 (LOW reliability),0.48,0.74 (LOW reliability),0.74,0.86 (LOW reliability),0.86
13938,Molecule 13938,O=C(N)C(c1ncccc1)(c2ccccc2)CCCN3CC4CCC(C3)CC4,3.99 (MODERATE reliability),3.99,3.12 (GOOD reliability),3.12,4.06 (MODERATE reliability),4.06
13939,Molecule 13939,O=C(N)C(c1ccccc1Cl)CCN2CCCCC2,2.44 (LOW reliability),2.44,2.63 (LOW reliability),2.63,2.82 (LOW reliability),2.82
13940,Molecule 13940,O=C(N)C(c1ncccc1)(c2ccccc2)CCN3CC4CCC(C3)CC4,3.49 (MODERATE reliability),3.49,2.91 (LOW reliability),2.91,3.61 (MODERATE reliability),3.61
13941,Molecule 13941,NC(=O)Cc1cnc2ccccc12,[Error],-,[Error],-,[Error],-
13942,Molecule 13942,O=C(N)Cc1ccc(O)cc1,-0.16 (MODERATE reliability),-0.16,0.79 (LOW reliability),0.79,0.6 (LOW reliability),0.6
13943,Molecule 13943,NC(=O)c2ncc(c1ccc(Cl)cc1)c2N3CCOCC3,[Error],-,[Error],-,[Error],-
13944,Molecule 13944,O=C(N)c1cccc(c1)Cc2ncccn2,0.94 (LOW reliability),0.94,0.94 (MODERATE reliability),0.94,0.74 (GOOD reliability),0.74
13945,Molecule 13945,O=C(N)c1cccc(c1)Cn2nccc2,1.06 (MODERATE reliability),1.06,1.15 (LOW reliability),1.15,1.07 (MODERATE reliability),1.07
13946,Molecule 13946,O=C(N)c1cccc(c1)Cn2cncc2,1.06 (MODERATE reliability),1.06,1.15 (LOW reliability),1.15,0.51 (MODERATE reliability),0.51
13947,Molecule 13947,O=C(N)c3cc(OCCNCC(O)CON=C(C1CC1)C2CC2)ccc3(O),1.83 (MODERATE reliability),1.83,0.73 (MODERATE reliability),0.73,0.7 (MODERATE reliability),0.7
