SMILES,Kow,Kowwin,Wildman-Crippen LogP,LogP model (Meylan-Kowwin)-prediction,LogP model (MLogP)-prediction,LogP model (ALogP)-prediction,mols,carboxylic acid,amide,ester,benzene,ketone,halogen,primary amine,secondary amine,tertiary amine,aliphatic hydroxyl,unbranched alkane >4,alkyl halide,nitrile,nitro,sulfide,sulfonamide,ether,aromatic hydroxyl,aromatic nitrogen,aromatic amine,aniline,phenol,bicyclic,rings,saturated rings,aromatic rings,consensus logp,Kowwin error,Wildman-Crippen error,Meylan-Kowwin error,MLogP error,ALogP error,consensus logp error
Cc1cnc(C(N)=O)cn1,-0.25,0.02,-0.11608,-0.77,-1.09,-0.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B9975FC0>,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,-0.5432159999999999,0.27,0.13391999999999998,0.52,0.8400000000000001,0.51,0.2932159999999999
Cc1cncc(C(N)=O)n1,-0.13,0.02,-0.11608,-0.77,-1.09,-0.76,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976030>,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,-0.5432159999999999,0.15,0.013920000000000002,0.64,0.9600000000000001,0.63,0.4132159999999999
O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,5.06,4.75,4.492200000000002,4.75,4.24,3.84,<rdkit.Chem.rdchem.Mol object at 0x00000184B99760A0>,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,4,4.414440000000001,0.3099999999999996,0.5677999999999974,0.3099999999999996,0.8199999999999994,1.2199999999999998,0.6455599999999988
O=C(O)c1cc(=O)c2cc3c(cc2o1)CCCC3,3.4,3.65,2.370000000000001,4.04,1.68,2.74,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976110>,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,2.8960000000000004,0.25,1.029999999999999,0.6400000000000001,1.72,0.6599999999999997,0.5039999999999996
CCOc1c(NS(=O)(=O)c2ccc(N)cc2)ncnc1OC,1.03,0.25,1.2669,1.63,0.9,1.7,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976180>,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,1,2,0,2,0,2,0,0,2,0,2,1.14938,0.78,0.2368999999999999,0.5999999999999999,0.13,0.6699999999999999,0.11938000000000004
CCCOC(=O)Nc1ccccc1,2.8,2.73,2.645100000000001,2.73,2.63,2.47,<rdkit.Chem.rdchem.Mol object at 0x00000184B99761F0>,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,2.6410200000000006,0.06999999999999984,0.1548999999999987,0.06999999999999984,0.16999999999999993,0.3299999999999996,0.15897999999999923
Cc1ccc(O)c2ncccc12,2.37,2.21,2.2488200000000003,2.05,1.76,2.24,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976260>,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,0,2,2.101764,0.16000000000000014,0.12117999999999984,0.3200000000000003,0.6100000000000001,0.1299999999999999,0.2682359999999999
CC(C(=O)O)(c1ccccc1)c1ccccc1,2.69,3.52,3.0772000000000013,3.15,3.5,3.38,<rdkit.Chem.rdchem.Mol object at 0x00000184B99762D0>,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3.3254400000000004,0.8300000000000001,0.3872000000000013,0.45999999999999996,0.81,0.69,0.6354400000000004
CS(=O)c1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,0.8,2.02,2.2135,1.07,1.82,2.04,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976340>,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,1.8326999999999998,1.22,1.4134999999999998,0.27,1.02,1.24,1.0326999999999997
Cc1cc(C)c2c(c1)C(c1ccccc1)=NCC(=O)N2,2.94,3.32,3.0929400000000014,3.72,2.68,3.58,<rdkit.Chem.rdchem.Mol object at 0x00000184B99763B0>,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,3.2785880000000005,0.3799999999999999,0.1529400000000014,0.7800000000000002,0.2599999999999998,0.6400000000000001,0.33858800000000056
Cc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2,2.62,2.78,2.784520000000001,3.18,2.43,3.09,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976420>,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,2.852904,0.1599999999999997,0.1645200000000009,0.56,0.18999999999999995,0.46999999999999975,0.232904
CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.21,3.19,3.5439000000000016,4.31,3.18,3.82,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976490>,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,3.6087800000000003,0.020000000000000018,0.33390000000000164,1.0999999999999996,0.029999999999999805,0.6099999999999999,0.39878000000000036
O=C(O)CCCCCc1ccccc1,3.27,3.76,2.874100000000001,3.76,2.96,3.29,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976500>,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.3288200000000003,0.48999999999999977,0.3958999999999988,0.48999999999999977,0.31000000000000005,0.020000000000000018,0.058820000000000316
[O-][n+]1onc(-c2ccccc2)c1-c1ccccc1,3.64,3.75,2.6420000000000003,2.9,3.02,2.7,<rdkit.Chem.rdchem.Mol object at 0x00000184B9976570>,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,3,3.0024,0.10999999999999988,0.9979999999999998,0.7400000000000002,0.6200000000000001,0.94,0.6376
