,Count,Kowwin Mean,Kowwin Standard Deviation,Kowwin Minimum,Kowwin Maximum,Kowwin Median,Kowwin Q1,Kowwin Q3,Wildman-Crippen Mean,Wildman-Crippen Standard Deviation,Wildman-Crippen Minimum,Wildman-Crippen Maximum,Wildman-Crippen Median,Wildman-Crippen Q1,Wildman-Crippen Q3,Meylan-Kowwin Mean,Meylan-Kowwin Standard Deviation,Meylan-Kowwin Minimum,Meylan-Kowwin Maximum,Meylan-Kowwin Median,Meylan-Kowwin Q1,Meylan-Kowwin Q3,MLogP Mean,MLogP Standard Deviation,MLogP Minimum,MLogP Maximum,MLogP Median,MLogP Q1,MLogP Q3,ALogP Mean,ALogP Standard Deviation,ALogP Minimum,ALogP Maximum,ALogP Median,ALogP Q1,ALogP Q3,consensus logp Mean,consensus logp Standard Deviation,consensus logp Minimum,consensus logp Maximum,consensus logp Median,consensus logp Q1,consensus logp Q3
With unbranched alkane >4,1039,0.3782386910490857,0.3917237200334193,0.0,4.77,0.2600000000000002,0.1199999999999999,0.52,0.809480365736284,0.6650933349393834,0.0007000000000023,5.664300000000007,0.6340000000000001,0.3293000000000015,1.135199999999997,0.5975,0.5788718706610675,0.0,3.98,0.4300000000000001,0.16749999999999995,0.8199999999999995,0.99702,0.8564908032758413,0.0,5.79,0.7549999999999999,0.3700000000000001,1.4,0.53285,0.5091231519818001,0.0,3.93,0.40000000000000013,0.1899999999999999,0.73,0.5386070692974011,0.44689761790658794,0.0003399999999995,4.1590560000000005,0.4253399999999994,0.2119599999999996,0.7537800000000001
Without unbranched alkane >4,12806,0.3760061559685564,0.475438438425574,0.0,18.24,0.25,0.1,0.4800000000000002,0.5915454248008745,0.589698685168862,3.552713678800501e-15,14.519199999999962,0.4365000000000001,0.20100000000000068,0.7891000000000021,0.6460839941378137,0.6873002868489888,0.0,21.64,0.4399999999999999,0.1800000000000001,0.8899999999999997,0.7280335374630342,0.678741782497863,0.0,11.53,0.55,0.25,0.9900000000000002,0.5559155609641202,0.6122601907430388,0.0,16.75,0.39,0.1799999999999997,0.7100000000000001,0.44563422403560826,0.49036365833036794,3.5999999999702936e-05,15.707839999999994,0.31936200000000003,0.14722499999999944,0.574694
With alkyl halide,1098,0.3911414693381906,0.43964555927303595,0.0,6.199999999999999,0.27,0.10999999999999993,0.53,0.5613382119004251,0.5362105412190097,0.000700000000001,4.679299999999999,0.4138499999999983,0.17914999999999984,0.7773999999999999,0.6576901924839597,0.6247037351693272,0.0,6.199999999999999,0.4699999999999997,0.2000000000000001,0.9299999999999996,0.6674641002138711,0.6098107864908793,0.0,4.92,0.4899999999999997,0.2299999999999999,0.9299999999999999,0.5189795294836542,0.4907005565269768,0.0,3.74,0.3700000000000001,0.16999999999999998,0.7199999999999999,0.41326197328476016,0.4034368496349028,0.0013600000000009,4.75236,0.3128099999999998,0.14817600000000034,0.5492310000000002
Without alkyl halide,12747,0.374884404173531,0.472152742520293,0.0,18.24,0.25,0.1,0.4800000000000002,0.6119111519050233,0.6033326408462601,3.552713678800501e-15,14.519199999999962,0.4538999999999999,0.21105000000000002,0.8185400000000004,0.6412408534978122,0.6846650977744384,0.0,21.64,0.4300000000000001,0.1799999999999999,0.8799999999999999,0.754529482313248,0.7032844934735527,0.0,11.53,0.5700000000000001,0.2599999999999998,1.03,0.5572781775528494,0.6141702702546898,0.0,16.75,0.3900000000000001,0.17999999999999974,0.7100000000000001,0.45600086069924944,0.49430015184528425,3.5999999999702936e-05,15.707839999999994,0.3284399999999996,0.15114,0.5926699999999996
With nitrile,515,0.3193640776699029,0.3417221434410868,0.0,3.65,0.2199999999999997,0.0899999999999998,0.4499999999999999,0.6000351262135923,0.5728101817421922,0.0001800000000007,3.876680000000001,0.417380000000001,0.21725999999999906,0.810409999999999,0.722373786407767,0.6928924940841851,0.0,3.64,0.48,0.18999999999999995,1.0750000000000002,0.9955776699029125,0.9182628608948744,0.0,4.92,0.6699999999999997,0.25,1.6,0.6791116504854368,0.6263745970712894,0.0,3.21,0.4599999999999999,0.2299999999999999,0.91,0.5017015961165048,0.4481930515990723,0.0023360000000001,2.649336,0.374564,0.17547800000000002,0.7066260000000002
Without nitrile,13330,0.37836851712928227,0.47378570510454415,0.0,18.24,0.25,0.1099999999999994,0.49,0.6082042550637659,0.5994088590908088,3.552713678800501e-15,14.519199999999962,0.4518799999999999,0.20702499999999985,0.8154249999999997,0.6394380073614683,0.679422904837371,0.0,21.64,0.4399999999999995,0.18,0.8700000000000001,0.7379564866636414,0.6848537987061687,0.0,11.53,0.56,0.2599999999999998,1.01,0.5493725608833762,0.6040280780245008,0.0,16.75,0.3899999999999997,0.1700000000000003,0.71,0.450714800900225,0.4892205676543884,3.5999999999702936e-05,15.707839999999994,0.3255600000000003,0.14973,0.5841069999999999
With nitro,1199,0.32939032527105916,0.3225162642011535,0.0,2.97,0.24,0.1099999999999998,0.4599999999999999,0.5169435362802334,0.4699022340952261,0.0005000000000014,3.7032000000000007,0.4015999999999993,0.19709999999999986,0.7085700000000026,0.5953475355054302,0.542364135712082,0.0,3.98,0.4400000000000001,0.1899999999999999,0.8499999999999996,0.653984126984127,0.5534142284729082,0.0,3.86,0.53,0.2299999999999999,0.95,0.5144519632414369,0.5020991191901701,0.0,3.2,0.3899999999999999,0.1600000000000001,0.7000000000000002,0.41346271392827355,0.36779040176636374,0.00034,2.67592,0.33092,0.15062000000000048,0.553377
Without nitro,12646,0.3806093494649164,0.4810577387492621,0.0,18.24,0.25,0.1,0.4900000000000002,0.6165242377036216,0.6085124221075492,3.552713678800501e-15,14.519199999999962,0.45570000000000044,0.20800000000000002,0.8266,0.6470526980329611,0.6916534985512515,0.0,21.64,0.4399999999999999,0.1799999999999999,0.8899999999999997,0.7565521664008505,0.708233256530615,0.0,11.53,0.5699999999999998,0.2599999999999998,1.03,0.5580340909090908,0.6141912731184624,0.0,16.75,0.39,0.1799999999999999,0.7100000000000004,0.4563231712794559,0.49756977573493627,3.5999999999702936e-05,15.707839999999994,0.3265100000000002,0.15099499999999902,0.5934100000000001
With sulfide,656,0.4505487804878049,0.5172632067891042,0.0,3.42,0.3,0.12,0.59,0.6390808231707318,0.551038188569465,0.0005200000000004,3.204190000000004,0.486050000000002,0.2047000000000011,0.94025,0.882091603053435,0.8113586167975957,0.0,4.63,0.6699999999999999,0.27,1.225,0.9015877862595421,0.7002266438488298,0.0,3.79,0.7299999999999999,0.3399999999999998,1.3699999999999999,0.5064732824427481,0.482788082119009,0.0,3.39,0.3899999999999999,0.1899999999999999,0.655,0.4812627530487804,0.4513934407219933,0.0030400000000008,2.854820000000001,0.3598619999999999,0.17776499999999992,0.6482599999999996
Without sulfide,13189,0.3724743978567998,0.4668804612779728,0.0,18.24,0.25,0.1,0.48,0.606349517779968,0.6006590860695286,3.552713678800501e-15,14.519199999999962,0.4483000000000001,0.2077,0.8076000000000001,0.6305535723385822,0.6706353260980038,0.0,21.64,0.4299999999999999,0.1799999999999999,0.8600000000000003,0.7399054553330277,0.6956519102402553,0.0,11.53,0.5599999999999998,0.25,1.0074999999999998,0.5566279238648524,0.610766708785011,0.0,16.75,0.39,0.1799999999999997,0.72,0.4511863107134733,0.48955065565180866,3.5999999999702936e-05,15.707839999999994,0.3253239999999997,0.1493599999999999,0.5852399999999998
